Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Track_link,4.9984,0.4,-0.0125,0,0,0,2790,153.73,-4.7216E-12,-2.7936E-12,23250,-9.718E-13,23404,0,0,0,0,0,0,package://Track_02/meshes/Track_link.STL,0,0,0,1,0,0,0,0,0,0,package://Track_02/meshes/Track_link.STL,,track-1;track-2,track_co,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Track_lane,4.9,0.4,-0.0125,0,0,0,90,0.023438,-1.6263E-16,-4.8075E-17,0.079688,1.4849E-18,0.09375,0,0,0,0,0,0,package://Track_02/meshes/Track_lane.STL,1,1,1,1,0,0,0,0,0,0,package://Track_02/meshes/Track_lane.STL,,lane_track_01-1;lane_track_01-2,track_lane_co,,Track_lane_joint,fixed,0.15,0,0,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
Back_Track,3.5527E-15,0.4,-0.0125,0,0,0,558,30.745,2.4158E-13,-3.4732E-14,186.03,-1.7176E-14,216.71,0,0,0,0,0,0,package://Track_02/meshes/Back_Track.STL,0,0,0,1,0,0,0,0,0,0,package://Track_02/meshes/Back_Track.STL,,additive_to_track-2;additive_to_track-3,BT_co,,Back_Track_joint,fixed,-1.0016,0,0,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
Back_lane,0.5,0.4,-0.0125,0,0,0,18,0.0046875,-5.6379E-17,-1.3696E-17,0.015938,6.3315E-18,0.01875,0,0,0,0,0,0,package://Track_02/meshes/Back_lane.STL,1,1,1,1,0,0,0,0,0,0,package://Track_02/meshes/Back_lane.STL,,lane_addetive-2;lane_addetive-4,BL_co,,Back_lane_joint,fixed,-0.44839,0,0,0,0,0,Back_Track,0,0,0,,,,,,,,,,,,
BST,0,1.05,-0.0625,0,0,0,1800,39.844,-1.5898E-13,-4.8406E-14,602.34,1.1171E-14,637.5,0,0,0,0,0,0,package://Track_02/meshes/BST.STL,0.5,0.5,0.5,1,0,0,0,0,0,0,package://Track_02/meshes/BST.STL,,add_sidewalk-1;add_sidewalk-3,BTS_co,,BST_joint,fixed,0.0016129,-0.65,0.1,0,0,0,Back_Track,0,0,0,,,,,,,,,,,,
Front_Track,1.7764E-15,0.4,-0.0125,0,0,0,558,30.745,4.7073E-14,-1.132E-14,186.03,-2.7953E-14,216.71,0,0,0,0,0,0,package://Track_02/meshes/Front_Track.STL,0,0,0,1,0,0,0,0,0,0,package://Track_02/meshes/Front_Track.STL,,additive_to_track-1;additive_to_track-4,FT_co,,Front_Track_joint,fixed,10.998,0,0,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
Front_lane,-0.9,0.4,-0.0125,0,0,0,18,0.0046875,-1.2251E-17,-1.0044E-17,0.015938,4.696E-19,0.01875,0,0,0,0,0,0,package://Track_02/meshes/Front_lane.STL,1,1,1,1,0,0,0,0,0,0,package://Track_02/meshes/Front_lane.STL,,lane_addetive-1;lane_addetive-3,FL_co,,Front_lane_joint,fixed,0.95161,0,0,0,0,0,Front_Track,0,0,0,,,,,,,,,,,,
FST,0,1.05,-0.0625,0,0,0,1800,39.844,-1.8741E-13,2.3248E-13,602.34,-6.7474E-15,637.5,0,0,0,0,0,0,package://Track_02/meshes/FST.STL,0.5,0.5,0.5,1,0,0,0,0,0,0,package://Track_02/meshes/FST.STL,,add_sidewalk-2;add_sidewalk-4,FTS_co,,FST_joint,fixed,0.0016129,-0.65,0.1,0,0,0,Front_Track,0,0,0,,,,,,,,,,,,
obstacle_1,1.7764E-15,8.8818E-16,-0.1,0,0,0,24,0.8,1.0408E-16,-3.1804E-17,0.16,-1.7412E-17,0.8,0,0,0,0,0,0,package://Track_02/meshes/obstacle_1.STL,0,1,0,1,0,0,0,0,0,0,package://Track_02/meshes/obstacle_1.STL,,obstacle_1-1,obs_1_co,,obstacle_1_joint,fixed,4.1,0,0.2,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
obstacle_2,0,8.8818E-16,-0.1,0,0,0,24,0.8,1.2837E-16,-5.2221E-17,0.16,4.2557E-17,0.8,0,0,0,0,0,0,package://Track_02/meshes/obstacle_2.STL,1,0,0,1,0,0,0,0,0,0,package://Track_02/meshes/obstacle_2.STL,,obstacle_2-2,obs_2_co,,obstacle_2_joint,fixed,8.1,0.8,0.2,0,0,0,Track_link,0,0,0,,,,,,,,,,,,
